"gbif_id";"iucn_id";"cites_id";"nombre_cientifico";"nombre_cientifico2";"reino";"filo";"clase";"orden";"familia";"genero";"TIPO";"NOMBRE.EN.ESPAÑOL";"NACIONAL";"STATUS";"iucn_status";"cites_status"
2753889;NA;NA;"Alstroemeria paupercula";"Alstroemeria paupercula Phil.";"Plantae";"Tracheophyta";"Liliopsida";"Liliales";"Alstroemeriaceae";"Alstroemeria";"Flora";NA;NA;NA;NA;NA
2856348;172081;NA;"Allium neapolitanum";"Allium neapolitanum Cirillo";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Amaryllidaceae";"Allium";"Flora";NA;NA;"Introducida";"LC";NA
2754111;NA;NA;"Bomarea dulcis";"Bomarea dulcis (Hook.) Beauverd";"Plantae";"Tracheophyta";"Liliopsida";"Liliales";"Alstroemeriaceae";"Bomarea";"Flora";"Orko-orko";NA;"Nativa";NA;NA
2854008;NA;NA;"Chlidanthus fragrans";"Chlidanthus fragrans Herb.";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Amaryllidaceae";"Chlidanthus";"Flora";NA;NA;NA;NA;NA
2854929;NA;NA;"Clinanthus incarus";"Clinanthus Herb.";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Amaryllidaceae";"Clinanthus";"Flora";NA;NA;"Endémica";NA;NA
2855309;NA;NA;"Pyrolirion albicans";"Pyrolirion albicans Herb.";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Amaryllidaceae";"Pyrolirion";"Flora";NA;NA;NA;NA;NA
2867614;64316939;NA;"Lemna minuta";"Lemna minuta Kunth";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Araceae";"Lemna";"Flora";"Lenteja de agua";NA;"Introducida";"LC";NA
2867612;192003502;NA;"Lemna valdiviana";"Lemna valdiviana Phil.";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Araceae";"Lemna";"Flora";NA;NA;"Nativa";"LC";NA
2868827;164507;NA;"Zantedeschia aethiopica";"Zantedeschia aethiopica (L.) Spreng.";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Araceae";"Zantedeschia";"Flora";NA;NA;"Introducida";"LC";NA
7445284;13416997;NA;"Phoenix canariensis";"Phoenix canariensis H.Wildpret";"Plantae";"Tracheophyta";"Liliopsida";"Arecales";"Arecaceae";"Phoenix";"Flora";"Palmera canaria";NA;"Introducida";"LC";NA
5294589;38725;NA;"Washingtonia filifera";"Washingtonia filifera (Rafarin) H.Wendl. ex de Bary";"Plantae";"Tracheophyta";"Liliopsida";"Arecales";"Arecaceae";"Washingtonia";"Flora";"Palmera de Abanico";NA;"Introducida";"LC";NA
2769690;NA;NA;"Trihesperus glaucus";"Trihesperus glaucus (Ruiz & Pav.) Herb.";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Asparagaceae";"Trihesperus";"Flora";NA;NA;"Endémica";NA;NA
2768885;176377;NA;"Asparagus officinalis";"Asparagus officinalis L.";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Asparagaceae";"Asparagus";"Flora";NA;NA;"Introducida";"LC";NA
2769650;NA;NA;"Oziroe biflora";"Oziroe biflora (Ruiz & Pav.) Speta";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Asparagaceae";"Oziroe";"Flora";NA;NA;NA;NA;NA
