"ESPECIES";"INSTITUCIÓN";"AÑO";"AUTOR";"TÍTULO"
"Microlophus peruvianus";"Gobierno Regional de Tacna. GRRNyGMA. Proyecto "Mejoramiento de los Servicios de Gestión Territorial del Departamento de Tacna\"";2018;"CONSORCIO SEINNOVA ";"Estudio Especializado de Ecosistemas y Hábitat Marino Departamento de Tacna"
"Microlophus tigris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2013;"Pablo Juan Franco León";"ESTUDIO DE Carica candicans EN MORRO SAMA Y LOMAS DE TACAHUAY"
"Microlophus tigris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2009;"Hipólita Paniagua, Javier Ignacio y Lisseth Silva. ";"EVALUACIÓN DE Carica candicans y Weberbaurella brongniartioides DEL ECOSISTEMA LOMAS DEL DESIERTO COSTERO DE LA REGIÓN TACNA"
"Microlophus tigris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2012;"GOBIERNO REGIONAL TACNA. ";"EXPEDIENTE TÉCNICO PROPUESTA DE ZONA RESERVADA LOMAS DE TACAHUAY."
"Microlophus tigris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2009;"Hipólita Paniagua, Javier Ignacio y Lisseth Silva. ";"EVALUACION DE Caesalpinia spinosa EN LAS LOMAS DE TACAHUAY"
"Microlophus tigris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire""
"Microlophus tigris";"Gobierno Regional de Tacna. GRRNyGA. SGGA. Proyecto de Inversión "Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna"- CUI N° 2617548";2024;"Ling Doris Huamani Valderrama";"Estudio especializado en inventario de anfibios y reptiles de los sitios prioritarios para la conservación (SPC) Candarave, SPC Huaytire, SPC Altoperú"
"Caretta caretta";"Gobierno Regional de Tacna. GRRNyGMA. Proyecto "Mejoramiento de los Servicios de Gestión Territorial del Departamento de Tacna\"";2018;"CONSORCIO SEINNOVA ";"Estudio Especializado de Ecosistemas y Hábitat Marino Departamento de Tacna"
"Chelonia mydas";"Gobierno Regional de Tacna. GRRNyGMA. Proyecto "Mejoramiento de los Servicios de Gestión Territorial del Departamento de Tacna\"";2018;"CONSORCIO SEINNOVA ";"Estudio Especializado de Ecosistemas y Hábitat Marino Departamento de Tacna"
"Dermochelys coriacea";"Gobierno Regional de Tacna. GRRNyGMA. Proyecto "Mejoramiento de los Servicios de Gestión Territorial del Departamento de Tacna\"";2018;"CONSORCIO SEINNOVA ";"Estudio Especializado de Ecosistemas y Hábitat Marino Departamento de Tacna"
"Anas bahamensis";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Anas bahamensis";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Anas bahamensis";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Anas bahamensis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Anas bahamensis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Anas flavirostris";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Anas flavirostris";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Anas flavirostris";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Anas flavirostris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Anas flavirostris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Anas flavirostris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2010;"Romina Venturia Candia.";"IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"Anas flavirostris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire"
"Anas georgica";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Anas georgica";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Anas georgica";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Anas georgica";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Lophonetta specularioides";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Lophonetta specularioides";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Lophonetta specularioides";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2010;"Romina Venturia Candia.";"IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"Lophonetta specularioides";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire"
"Oressochen melanopterus";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Oressochen melanopterus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Oressochen melanopterus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2010;"Romina Venturia Candia.";"IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"Oressochen melanopterus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire"
"Oxyura ferruginea";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Oxyura ferruginea";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Oxyura ferruginea";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Oxyura ferruginea";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
