SCIENTIFIC NAME,SPANISH NAME
Uropsalis lyra,Lyre-tailed Nightjar Chotacabras Cola de Lira
Quechuavis decussata,Tschudi’s Nightjar Chotacabras de Tschudi
Setopagis parvula,Little Nightjar Chotacabras Chico
Hydropsalis maculicaudus,Spot-tailed Nightjar Chotacabras de Cola Punteada
Hydropsalis climacocerca,Ladder-tailed Nightjar Chotacabras de Cola Escalera
Hydropsalis torquata,Scissor-tailed Nightjar Chotacabras de Cola Tijereta
Systellura longirostris,Band-winged Nightjar Chotacabras de Ala Bandeada
Nyctiphrynus ocellatus,Ocellated Poorwill Chotacabras Ocelado
Antrostomus sericocaudatus,Silky-tailed Nightjar Chotacabras Cola de Seda
Antrostomus rufus,Rufous Nightjar Chotacabras Rufo
Cypseloides cherriei,Spot-fronted Swift Vencejo de Frente Punteada
Cypseloides cryptus,White-chinned Swift Vencejo de Barbilla Blanca
Cypseloides lemosi,White-chested Swift Vencejo de Pecho Blanco
Streptoprocne rutila,Chestnut-collared Swift Vencejo de Cuello Castaño
Streptoprocne zonaris,White-collared Swift Vencejo de Collar Blanco
Chaetura cinereiventris,Gray-rumped Swift Vencejo de Lomo Gris
Chaetura egregia,Pale-rumped Swift Vencejo de Lomo Pálido
Chaetura pelagica,Chimney Swift Vencejo de Chimenea
Chaetura chapmani,Chapman’s Swift Vencejo de Chapman
Chaetura brachyura,Short-tailed Swift Vencejo de Cola Corta
Aeronautes montivagus,White-tipped Swift Vencejo Montañés
Aeronautes andecolus,Andean Swift Vencejo Andino
Tachornis squamata,Fork-tailed Palm-Swift Vencejo Tijereta de Palmeras
Panyptila cayennensis,Lesser Swallow-tailed Swift Vencejo Tijereta Menor
Topaza pyra,Fiery Topaz Topacio de Fuego
Florisuga mellivora,White-necked Jacobin Colibrí de Nuca Blanca
Eutoxeres aquila,White-tipped Sicklebill Pico-de-Hoz de Puntas Blancas
Eutoxeres condamini,Buff-tailed Sicklebill Pico-de-Hoz de Cola Canela
Glaucis hirsutus,Rufous-breasted Hermit Ermitaño de Pecho Canela
Threnetes leucurus,Pale-tailed Barbthroat Ermitaño de Cola Pálida
Phaethornis atrimentalis,Black-throated Hermit Ermitaño de Garganta Negra
Phaethornis griseogularis,Gray-chinned Hermit Ermitaño de Barbilla Gris
Phaethornis ruber,Reddish Hermit Ermitaño Rojizo
Phaethornis stuarti,White-browed Hermit Ermitaño de Ceja Blanca
Phaethornis pretrei,Planalto Hermit Ermitaño del Planalto
