SCIENTIFIC NAME,SPANISH NAME
Thamnophilus aroyae,Upland Antshrike Batará de Altura
Thamnophilus amazonicus,Amazonian Antshrike Batará Amazónico
Thamnophilus divisorius,Acre Antshrike Batará de Acre
Megastictus margaritatus,Pearly Antshrike Batará Perlado
Neoctantes niger,Black Bushbird Arbustero Negro
Thamnistes rufescens,Rufescent Antshrike Batará Andino
Dysithamnus mentalis,Plain Antvireo Batarito de Cabeza Gris
Dysithamnus occidentalis,Bicolored Antvireo Batarito Bicolor
Dysithamnus leucostictus,White-streaked Antvireo Batarito Rayado de Blanco
Thamnomanes ardesiacus,Dusky-throated Antshrike Batará de Garganta Oscura
Thamnomanes saturninus,Saturnine Antshrike Batará Saturnino
Thamnomanes caesius,Cinereous Antshrike Batará Cinéreo
Thamnomanes schistogynus,Bluish-slate Antshrike Batará Azul-Acerado
Isleria hauxwelli,Plain-throated Antwren Hormiguerito de Garganta Llana
Pygiptila stellaris,Spot-winged Antshrike Batará de Ala Moteada
Epinecrophylla ornata,Ornate Stipplethroat Hormiguerito Adornado
Epinecrophylla erythrura,Rufous-tailed Stipplethroat Hormiguerito de Cola Rufa
Epinecrophylla leucophthalma,White-eyed Stipplethroat Hormiguerito de Ojo Blanco
Epinecrophylla haematonota,Rufous-backed Stipplethroat Hormiguerito de Dorso Rufo
Epinecrophylla spodionota,Foothill Stipplethroat Hormiguerito Submontano
Epinecrophylla amazonica,Rio Madeira Stipplethroat Hormiguerito de Río Madeira
Myrmotherula brachyura,Pygmy Antwren Hormiguerito Pigmeo
Myrmotherula ignota,Moustached Antwren Hormiguerito Bigotudo
Myrmotherula sclateri,Sclater’s Antwren Hormiguerito de Sclater
Myrmotherula multostriata,Amazonian Streaked-Antwren Hormiguerito-Rayado Amazónico
Myrmotherula cherriei,Cherrie’s Antwren Hormiguerito de Cherrie
Myrmotherula longicauda,Stripe-chested Antwren Hormiguerito de Pecho Listado
Myrmotherula axillaris,White-flanked Antwren Hormiguerito de Flanco Blanco
Myrmotherula schisticolor,Slaty Antwren Hormiguerito Pizarroso
Myrmotherula sunensis,Rio Suno Antwren Hormiguerito del Suno
Myrmotherula longipennis,Long-winged Antwren Hormiguerito de Ala Larga
Myrmotherula iheringi,Ihering’s Antwren Hormiguerito de Ihering
Myrmotherula grisea,Ashy Antwren Hormiguerito Cenizo
Myrmotherula menetriesii,Gray Antwren Hormiguerito Gris
Myrmotherula assimilis,Leaden Antwren Hormiguerito Plomizo
Dichrozona cincta,Banded Antbird Hormiguerito Bandeado
Herpsilochmus parkeri,Ash-throated Antwren Hormiguerito de Garganta Ceniza
Herpsilochmus motacilloides,Creamy-bellied Antwren Hormiguerito de Vientre Cremoso
Herpsilochmus dugandi,Dugand’s Antwren Hormiguerito de Dugand
Herpsilochmus gentryi,Ancient Antwren Hormiguerito Antiguo
Herpsilochmus axillaris,Yellow-breasted Antwren Hormiguerito de Pecho Amarillo
Herpsilochmus frater,Rufous-margined Antwren Hormiguerito de Ala R ojiza
Microrhopias quixensis,Dot-winged Antwren Hormiguerito de Ala Punteada
Formicivora grisea,White-fringed Antwren Hormiguerito de Pecho Negro
Formicivora rufa,Rusty-backed Antwren Hormiguerito de Dorso Rojizo
Drymophila devillei,Striated Antbird Hormiguero Estriado
Drymophila striaticeps,Streak-headed Antbird Hormiguero de Cabeza Rayada
Hypocnemis peruviana,Peruvian Warbling-Antbird Hormiguero Peruano
Hypocnemis subflava,Yellow-breasted Warbling-Antbird Hormiguero de Pecho Amarillo
Hypocnemis hypoxantha,Yellow-browed Antbird Hormiguero de Ceja Amarilla
Cercomacroides serva,Black Antbird Hormiguero Negro
Cercomacroides nigrescens,Blackish Antbird Hormiguero Negruzco
Cercomacroides fuscicauda,Riparian Antbird Hormiguero Ribereño
Cercomacra manu,Manu Antbird Hormiguero del Manu
Cercomacra cinerascens,Gray Antbird Hormiguero Gris
Pyriglena maura,Western Fire-eye Ojo-de-Fuego Occidental
Myrmoborus leucophrys,White-browed Antbird Hormiguero de Ceja Blanca
Myrmoborus lugubris,Ash-breasted Antbird Hormiguero de Pecho Cenizo
Myrmoborus myotherinus,Black-faced Antbird Hormiguero de Cara Negra
Myrmoborus melanurus,Black-tailed Antbird Hormiguero de Cola Negra
Myrmoborus lophotes,White-lined Antbird Hormiguero de Líneas Blancas
Hypocnemoides melanopogon,Black-chinned Antbird Hormiguero de Barbilla Negra
Hypocnemoides maculicauda,Band-tailed Antbird Hormiguero de Cola Bandeada
Myrmochanes hemileucus,Black-and-white Antbird Hormiguero Negro y Blanco
Sclateria naevia,Silvered Antbird Hormiguero Plateado
Percnostola rufifrons,Black-headed Antbird Hormiguero de Cabeza Negra
Percnostola arenarum,Allpahuayo Antbird Hormiguero de Allpahuayo
Myrmelastes schistaceus,Slate-colored Antbird Hormiguero Pizarroso
Myrmelastes hyperythrus,Plumbeous Antbird Hormiguero Plomizo
Myrmelastes leucostigma,Spot-winged Antbird Hormiguero de Ala Moteada
Myrmelastes humaythae,Humaita Antbird Hormiguero de Humaita
Myrmelastes brunneiceps,Brownish-headed Antbird Hormiguero de Cabeza Pardusca
Ampelornis griseiceps,Gray-headed Antbird Hormiguero de Cabeza Gris
Sciaphylax hemimelaena,Chestnut-tailed Antbird Hormiguero de Cola Castaña
Sciaphylax castanea,Zimmer’s Antbird Hormiguero de Zimmer
Myrmoderus eowilsoni,Cordillera Azul Antbird Hormiguero de la Cordillera Azul
Akletos melanoceps,White-shouldered Antbird Hormiguero de Hombro Blanco
Akletos goeldii,Goeldi’s Antbird Hormiguero de Goeldi
Hafferia fortis,Sooty Antbird Hormiguero Tiznado
Myrmophylax atrothorax,Black-throated Antbird Hormiguero de Garganta Negra
Myrmornis torquata,Wing-banded Antbird Hormiguero de Ala Bandeada
Pithys albifrons,White-plumed Antbird Hormiguero de Plumón Blanco
Pithys castaneus,White-masked Antbird Hormiguero de Mascara Blanca
Gymnopithys leucaspis,White-cheeked Antbird Hormiguero de Mejilla Blanca
Oneillornis salvini,White-throated Antbird Hormiguero de Garganta Blanca
Oneillornis lunulatus,Lunulated Antbird Hormiguero Lunado
Rhegmatorhina melanosticta,Hairy-crested Antbird Hormiguero de Cresta Canosa
Hylophylax naevius,Spot-backed Antbird Hormiguero de Dorso Moteado
Hylophylax punctulatus,Dot-backed Antbird Hormiguero de Dorso Punteado
Willisornis poecilinotus,Scale-backed Antbird Hormiguero de Dorso Escamoso
Phlegopsis nigromaculata,Black-spotted Bare-eye Ojo-Pelado Moteado de Negro
Phlegopsis erythroptera,Reddish-winged Bare-eye Ojo-Pelado de Ala Rojiza
Melanopareia maranonica,Marañón Crescentchest Pecho-de-Luna del Marañón
Melanopareia elegans,Elegant Crescentchest Pecho-de-Luna Elegante
Conopophaga aurita,Chestnut-belted Gnateater Jejenero de Faja Castaña
Conopophaga peruviana,Ash-throated Gnateater Jejenero de Garganta Ceniza
Conopophaga castaneiceps,Chestnut-crowned Gnateater Jejenero de Corona Castaña
Conopophaga ardesiaca,Slaty Gnateater Jejenero PizarrosoFamily MELANOPAREIIDAE: Crescentchests / Pechos-de-Luna
Grallaria squamigera,Undulated Antpitta Tororoi Ondulado
Grallaria varia,Variegated Antpitta Tororoi Variegado
Grallaria guatimalensis,Scaled Antpitta Tororoi Escamoso
Grallaria haplonota,Plain-backed Antpitta Tororoi de Dorso Llano
Grallaria dignissima,Ochre-striped Antpitta Tororoi Ocre Listado
Grallaria eludens,Elusive Antpitta Tororoi Evasivo
Grallaria ruficapilla,Chestnut-crowned Antpitta Tororoi de Corona Castaña
Grallaria watkinsi,Watkins’s Antpitta Tororoi de Watkins
Grallaria andicolus,Stripe-headed Antpitta Tororoi de Cabeza Listada
Grallaria ridgelyi,Jocotoco Antpitta Tororoi Jocotoco
Grallaria nuchalis,Chestnut-naped Antpitta Tororoi de Nuca Castaña
Grallaria carrikeri,Pale-billed Antpitta Tororoi de Pico Pálido
Grallaria albigula,White-throated Antpitta Tororoi de Garganta Blanca
Grallaria hypoleuca,White-bellied Antpitta Tororoi de Vientre Blanco
Grallaria przewalskii,Rusty-tinged Antpitta Tororoi Rojizo
Grallaria capitalis,Bay Antpitta Tororoi Bayo
Grallaria erythroleuca,Red-and-white Antpitta Tororoi Rojo y Blanco
Grallaria saturata,Equatorial Antpitta Tororoi Ecuatorial
Grallaria cajamarcae,Cajamarca Antpitta Tororoi de Cajamarca
Grallaria blakei,Chestnut Antpitta Tororoi Castaño
Grallaria occabambae,Urubamba Antpitta Tororoi de Urubamba
Grallaria gravesi,Chachapoyas Antpitta Tororoi de Chachapoyas
Grallaria oneilli,Panao Antpitta Tororoi de Panao
Grallaria obscura,Junin Antpitta Tororoi de Junín
Grallaria centralis,Oxapampa Antpitta Tororoi de Oxapampa
Grallaria ayacuchensis,Ayacucho Antpitta Tororoi de Ayacucho
Grallaria sinaensis,Puno Antpitta Tororoi de Puno
Grallaria quitensis,Tawny Antpitta Tororoi Leonado
Grallaria erythrotis,Rufous-faced Antpitta Tororoi de Cara Rufa
Hylopezus macularius,Spotted Antpitta Tororoi Moteado
Myrmothera fulviventris,White-lored Antpitta Tororoi de Lores Blancos
Myrmothera berlepschi,Amazonian Antpitta Tororoi Amazónico
Myrmothera campanisona,Thrush-like Antpitta Tororoi Campanero
Grallaricula flavirostris,Ochre-breasted Antpitta Tororoi de Pecho Ocráceo
Grallaricula leymebambae,Leymebamba Antpitta Tororoi de Leymebamba
Grallaricula peruviana,Peruvian Antpitta Tororoi Peruano
Grallaricula ochraceifrons,Ochre-fronted Antpitta Tororoi de Frente Ocrácea
Grallaricula nana,Slate-crowned Antpitta Tororoi de Corona Pizarrosa
Liosceles thoracicus,Rusty-belted Tapaculo Tapaculo de Faja Rojiza
Acropternis orthonyx,Ocellated Tapaculo Tapaculo Ocelado
Myornis senilis,Ash-colored Tapaculo Tapaculo Cenizo
Scytalopus affinis,Ancash Tapaculo Tapaculo de Ancash
Scytalopus krabbei,White-winged Tapaculo Tapaculo de Ala Blanca
Scytalopus androstictus,Loja Tapaculo Tapaculo de Loja
Scytalopus simonsi,Puna Tapaculo Tapaculo de la Puna
Scytalopus schulenbergi,Diademed Tapaculo Tapaculo Diademado
Scytalopus urubambae,Vilcabamba Tapaculo Tapaculo de Vilcabamba
Scytalopus whitneyi,Ampay Tapaculo Tapaculo de Ampay
Scytalopus frankeae,Jalca Tapaculo Tapaculo de Jalca
Scytalopus altirostris,Neblina Tapaculo Tapaculo de Neblina
Scytalopus parvirostris,Trilling Tapaculo Tapaculo Trinador
Scytalopus bolivianus,Bolivian Tapaculo Tapaculo Boliviano
Scytalopus atratus,White-crowned Tapaculo Tapaculo de Corona Blanca
Scytalopus micropterus,Long-tailed Tapaculo Tapaculo de Cola Larga
Scytalopus femoralis,Rufous-vented Tapaculo Tapaculo de Subcaudales Rufas
Scytalopus intermedius,Utcubamba Tapaculo Tapaculo de Utcubamba
Scytalopus macropus,Large-footed Tapaculo Tapaculo de Pata Grande
Scytalopus gettyae,Junin Tapaculo Tapaculo de Junín
Scytalopus unicolor,Unicolored Tapaculo Tapaculo Unicolor
Scytalopus acutirostris,Tschudi’s Tapaculo Tapaculo de Tschudi
Scytalopus latrans,Blackish Tapaculo Tapaculo Negruzco
Scytalopus parkeri,Chusquea Tapaculo Tapaculo de ChusqueaFamily GRALLARIIDAE: Antpittas / Tororois
Formicarius colma,Rufous-capped Antthrush Gallito-Hormiguero de Gorro Rufo
Formicarius analis,Black-faced Antthrush Gallito-Hormiguero de Cara Negra
Formicarius rufifrons,Rufous-fronted Antthrush Gallito-Hormiguero de Frente Rufa
Formicarius rufipectus,Rufous-breasted Antthrush Gallito-Hormiguero de Pecho Rufo
Chamaeza campanisona,Short-tailed Antthrush Rasconzuelo de Cola Corta
Chamaeza nobilis,Striated Antthrush Rasconzuelo Estriado
Chamaeza mollissima,Barred Antthrush Rasconzuelo Barrado
Sclerurus obscurior,South American Leaftosser Tira-Hoja Sudamericana
Sclerurus rufigularis,Short-billed Leaftosser Tira-Hoja de Pico Corto
Sclerurus caudacutus,Black-tailed Leaftosser Tira-Hoja de Cola Negra
Sclerurus albigularis,Gray-throated Leaftosser Tira-Hoja de Garganta Gris
Geositta peruviana,Coastal Miner Minero Peruano
Geositta tenuirostris,Slender-billed Miner Minero de Pico Largo
Geositta cunicularia,Common Miner Minero Común
Geositta punensis,Puna Miner Minero de la Puna
Geositta crassirostris,Thick-billed Miner Minero de Pico Grueso
Geositta maritima,Grayish Miner Minero Gris
Geositta saxicolina,Dark-winged Miner Minero Andino
Certhiasomus stictolaemus,Spot-throated Woodcreeper Trepador de Garganta Punteada
Sittasomus griseicapillus,Olivaceous Woodcreeper Trepador Oliváceo
Deconychura longicauda,Long-tailed Woodcreeper Trepador de Cola Larga
Dendrocincla tyrannina,Tyrannine Woodcreeper Trepador Tiranino
Dendrocincla merula,White-chinned Woodcreeper Trepador de Barbilla Blanca
Dendrocincla fuliginosa,Plain-brown Woodcreeper Trepador Pardo
Glyphorynchus spirurus,Wedge-billed Woodcreeper Trepador Pico de Cuña
Dendrexetastes rufigula,Cinnamon-throated Woodcreeper Trepador de Garganta Canela
Nasica longirostris,Long-billed Woodcreeper Trepador de Pico Largo
Dendrocolaptes certhia,Amazonian Barred-Woodcreeper Trepador Barrado Amazónico
Dendrocolaptes picumnus,Black-banded Woodcreeper Trepador de Vientre Bandeado
Hylexetastes stresemanni,Bar-bellied Woodcreeper Trepador de Vientre Barrado
Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper Trepador de Pico Fuerte
Xiphorhynchus obsoletus,Striped Woodcreeper Trepador Listado
Xiphorhynchus ocellatus,Ocellated Woodcreeper Trepador Ocelado
Xiphorhynchus elegans,Elegant Woodcreeper Trepador Elegante
Xiphorhynchus guttatus,Buff-throated Woodcreeper Trepador de Garganta Anteada
Xiphorhynchus triangularis,Olive-backed Woodcreeper Trepador de Dorso Olivo
Dendroplex picus,Straight-billed Woodcreeper Trepador de Pico Recto
Dendroplex kienerii,Zimmer’s Woodcreeper Trepador de Zimmer
Campylorhamphus trochilirostris,Red-billed Scythebill Pico-Guadaña de Pico Rojo
Campylorhamphus procurvoides,Curve-billed Scythebill Pico-Guadaña de Pico Curvo
Campylorhamphus pusillus,Brown-billed Scythebill Pico-Guadaña de Pico Pardo
Drymotoxeres pucheranii,Greater Scythebill Pico-Guadaña Grande
Lepidocolaptes souleyetii,Streak-headed Woodcreeper Trepador de Cabeza Rayada
Lepidocolaptes lacrymiger,Montane Woodcreeper Trepador Montano
Lepidocolaptes duidae,Duida Woodcreeper Trepador de Duida
Lepidocolaptes fatimalimae,Inambari Woodcreeper Trepador del Inambari
Xenops tenuirostris,Slender-billed Xenops Pico-Lezna de Pico Fino
Xenops mexicanus,Northern Plain-Xenops Pico-Lezna Norteño
Xenops genibarbis,Amazonian Plain Xenops Pico-Lezna Amazónico
Xenops rutilans,Streaked Xenops Pico-Lezna Rayado
Berlepschia rikeri,Point-tailed Palmcreeper Trepador de Palmeras
Microxenops milleri,Rufous-tailed Xenops Pico-Lezna de Cola Rufa
Ochetorhynchus ruficaudus,Straight-billed Earthcreeper Bandurrita de Pico Recto
Pseudocolaptes boissonneautii,Streaked Tuftedcheek Barba-blanca Rayado
Premnornis guttuliger,Rusty-winged Barbtail Cola-Púa de Ala Rojiza
Furnarius leucopus,Pale-legged Hornero Hornero de Pata PálidaFamily FORMICARIIDAE: Antthrushes / Hormigueros Terrestres
Furnarius torridus,Pale-billed Hornero Hornero de Pico Pálido
Furnarius minor,Lesser Hornero Hornero Menor
Lochmias nematura,Sharp-tailed Streamcreeper Riachuelero
Phleocryptes melanops,Wren-like Rushbird Junquero
Geocerthia serrana,Striated Earthcreeper Bandurrita Peruana
Upucerthia dumetaria,Scale-throated Earthcreeper Bandurrita de Garganta Escamosa
Upucerthia albigula,White-throated Earthcreeper Bandurrita de Garganta Blanca
Upucerthia validirostris,Buff-breasted Earthcreeper Bandurrita de Pecho Anteado
Cinclodes albidiventris,Chestnut-winged Cinclodes Churrete de Ala Castañea
Cinclodes albiventris,Cream-winged Cinclodes Churrete de Ala Crema
Cinclodes aricomae,Royal Cinclodes Churrete Real
Cinclodes palliatus,White-bellied Cinclodes Churrete de Vientre Blanco
Cinclodes atacamensis,White-winged Cinclodes Churrete de Ala Blanca
Cinclodes taczanowskii,Surf Cinclodes Churrete Marisquero
Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner Hoja-Rasquero de Mejilla Oscura
Neophilydor erythrocercum,Rufous-rumped Foliage-gleaner Limpia-Follaje de Lomo Rufo
Philydor pyrrhodes,Cinnamon-rumped Foliage-gleaner Limpia-Follaje de Lomo Canela
Anabacerthia striaticollis,Montane Foliage-gleaner Limpia-Follaje Montano
Anabacerthia ruficaudata,Rufous-tailed Foliage-gleaner Limpia-Follaje de Cola Rufa
Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner Limpia-Follaje de Ceja Anteada
Syndactyla subalaris,Lineated Foliage-gleaner Limpia-Follaje Lineado
Syndactyla ruficollis,Rufous-necked Foliage-gleaner Limpia-Follaje de Cuello Rufo
Syndactyla ucayalae,Peruvian Recurvebill Pico-Recurvo Peruano
Syndactyla striata,Bolivian Recurvebill Pico-Recurvo Boliviano
Ancistrops strigilatus,Chestnut-winged Hookbill Pico-Gancho de Ala Castaña
Dendroma rufa,Buff-fronted Foliage-gleaner Limpia-Follaje de Frente Anteada
Dendroma erythroptera,Chestnut-winged Foliage-gleaner Limpia-Follaje de Ala Castaña
Clibanornis erythrocephalus,Henna-hooded Foliage-gleaner Hoja-Rasquero de Capucha Rufa
Clibanornis rubiginosus,Ruddy Foliage-gleaner Hoja-Rasquero Rojizo
Thripadectes flammulatus,Flammulated Treehunter Trepamusgo Flamulado
Thripadectes scrutator,Rufous-backed Treehunter Trepamusgo de Dorso Rufo
Thripadectes holostictus,Striped Treehunter Trepamusgo Listado
Thripadectes melanorhynchus,Black-billed Treehunter Trepamusgo de Pico Negro
Automolus rufipileatus,Chestnut-crowned Foliage-gleaner Hoja-Rasquero de Corona Castaña
Automolus melanopezus,Brown-rumped Foliage-gleaner Hoja-Rasquero de Lomo Pardo
Automolus ochrolaemus,Buff-throated Foliage-gleaner Hoja-Rasquero de Garganta Anteada
Automolus subulatus,Striped Woodhaunter Rondabosque Rayado
Automolus infuscatus,Olive-backed Foliage-gleaner Hoja-Rasquero de Dorso Olivo
Premnoplex brunnescens,Spotted Barbtail Cola-Púa Moteada
Margarornis squamiger,Pearled Treerunner Subepalo Perlado
Sylviorthorhynchus yanacensis,Tawny Tit-Spinetail Tijeral Leonado
Leptasthenura aegithaloides,Plain-mantled Tit-Spinetail Tijeral de Manto Llano
Leptasthenura pileata,Rusty-crowned Tit-Spinetail Tijeral de Corona Castaña
Leptasthenura xenothorax,White-browed Tit-Spinetail Tijeral de Ceja Blanca
Leptasthenura striata,Streaked Tit-Spinetail Tijeral Listado
Leptasthenura andicola,Andean Tit-Spinetail Tijeral Andino
Phacellodomus rufifrons,Rufous-fronted Thornbird Espinero de Frente Rufa
Phacellodomus striaticeps,Streak-fronted Thornbird Espinero de Frente Rayada
Phacellodomus dorsalis,Chestnut-backed Thornbird Espinero de Dorso Castaño
Hellmayrea gularis,White-browed Spinetail Cola-Espina de Ceja Blanca
Asthenes dorbignyi,Creamy-breasted Canastero Canastero de Pecho Cremoso
Asthenes urubambensis,Line-fronted Canastero Canastero de Frente Listada
Asthenes flammulata,Many-striped Canastero Canastero Multilistado
Asthenes virgata,Junín Canastero Canastero de Junín
Asthenes maculicauda,Scribble-tailed Canastero Canastero Estriado
Asthenes wyatti,Streak-backed Canastero Canastero de Dorso Rayado
Asthenes sclateri,Puna Canastero Canastero de la Puna
Asthenes humilis,Streak-throated Canastero Canastero de Garganta Rayada
Asthenes modesta,Cordilleran Canastero Canastero Cordillerano
Asthenes helleri,Puna Thistletail Cola-Cardo de la Puna
Asthenes ayacuchensis,Ayacucho Thistletail Cola-Cardo de Ayacucho
Asthenes vilcabambae,Vilcabamba Thistletail Cola-Cardo de Vilcabamba
Asthenes pudibunda,Canyon Canastero Canastero de Quebradas
Asthenes ottonis,Rusty-fronted Canastero Canastero de Frente Rojiza
Asthenes palpebralis,Eye-ringed Thistletail Cola-Cardo de Ojo Anillado
Asthenes fuliginosa,White-chinned Thistletail Cola-Cardo de Barbilla Blanca
Asthenes griseomurina,Mouse-colored Thistletail Cola-Cardo Murino
Metopothrix aurantiaca,Orange-fronted Plushcrown Corona-de-Felpa de Frente Naranja
Xenerpestes singularis,Equatorial Graytail Cola-Gris Ecuatorial
Siptornis striaticollis,Spectacled Prickletail Cola-Púa Frontino
Thripophaga fusciceps,Plain Softtail Cola-Suave Simple
Thripophaga berlepschi,Russet-mantled Softtail Cola-Suave de Manto Rojizo
Cranioleuca marcapatae,Marcapata Spinetail Cola-Espina de Marcapata
Cranioleuca weskei,Vilcabamba Spinetail Cola-Espina de Vilcabamba
Cranioleuca albiceps,Light-crowned Spinetail Cola-Espina de Corona Pálida
Cranioleuca vulpina,Rusty-backed Spinetail Cola-Espina de Dorso Rojizo
Cranioleuca vulpecula,Parker’s Spinetail Cola-Espina de Parker
Cranioleuca albicapilla,Creamy-crested Spinetail Cola-Espina de Cresta Cremosa
Cranioleuca curtata,Ash-browed Spinetail Cola-Espina de Ceja Ceniza
Cranioleuca antisiensis,Line-cheeked Spinetail Cola-Espina de Mejilla Lineada
Cranioleuca gutturata,Speckled Spinetail Cola-Espina Jaspeado
Pseudasthenes cactorum,Cactus Canastero Canastero de los Cactus
Certhiaxis cinnamomeus,Yellow-chinned Spinetail Cola-Espina de Barbilla Amarilla
Certhiaxis mustelinus,Red-and-white Spinetail Cola-Espina Rojo y Blanco
Mazaria propinqua,White-bellied Spinetail Cola-Espina de Vientre Blanco
Synallaxis scutata,Ochre-cheeked Spinetail Cola-Espina de Mejilla Ocrácea
Synallaxis gujanensis,Plain-crowned Spinetail Cola-Espina de Corona Parda
Synallaxis maranonica,Marañón Spinetail Cola-Espina del Marañón
Synallaxis hypochondriaca,Great Spinetail Cola-Espina Grande
Synallaxis stictothorax,Necklaced Spinetail Cola-Espina Acollarado
Synallaxis chinchipensis,Chinchipe Spinetai Cola-Espina del Chinchipe
Synallaxis zimmeri,Russet-bellied Spinetail Cola-Espina de Vientre Rojizo
Synallaxis brachyura,Slaty Spinetail Cola-Espina Pizarroso
Synallaxis moesta,Dusky Spinetail Cola-Espina Oscuro
Synallaxis cabanisi,Cabanis's Spinetail Cola-Espina de Cabanis
Synallaxis hypospodia,Cinereous-breasted Spinetail Cola-Espina de Pecho Cinéreo
Synallaxis albigularis,Dark-breasted Spinetail Cola-Espina de Pecho Oscuro
Synallaxis albescens,Pale-breasted Spinetail Cola-Espina de Pecho Blanco
Synallaxis azarae,Azara’s Spinetail Cola-Espina de Azara
Synallaxis courseni,Apurimac Spinetail Cola-Espina de Apurímac
Synallaxis tithys,Blackish-headed Spinetail Cola-Espina de Cabeza Negruzca
Synallaxis unirufa,Rufous Spinetail Cola-Espina Rufo
Synallaxis rutilans,Ruddy Spinetail Cola-Espina Rojizo
Synallaxis cherriei,Chestnut-throated Spinetail Cola-Espina de Garganta Castaña
Tyranneutes stolzmanni,Dwarf Tyrant-Manakin Saltarín-Tirano Enano
Neopelma chrysocephalum,Saffron-crested Tyrant-Manakin Saltarín-Tirano de Cresta Azafrán
Neopelma sulphureiventer,Sulphur-bellied Tyrant-Manakin Saltarín-Tirano de Vientre Azufra do
Chloropipo unicolor,Jet Manakin Saltarín Azabache
Chiroxiphia boliviana,Yungas Manakin Saltarín de Yungas
Chiroxiphia pareola,Blue-backed Manakin Saltarín de Dorso Azul
Masius chrysopterus,Golden-winged Manakin Saltarín de Ala Dorada
Xenopipo atronitens,Black Manakin Saltarín Negro
Cryptopipo holochlora,Green Manakin Saltarín Verde
Lepidothrix coronata,Blue-crowned Manakin Saltarín de Corona Azul
Lepidothrix isidorei,Blue-rumped Manakin Saltarín de Lomo Azul
Lepidothrix coeruleocapilla,Cerulean-capped Manakin Saltarín de Gorro CerúleoFamily PIPRIDAE: Manakins / Saltarines
Heterocercus aurantiivertex,Orange-crowned Manakin Saltarín de Corona Naranja
Heterocercus linteatus,Flame-crowned Manakin Saltarín Corona de Fuego
Manacus manacus,White-bearded Manakin Saltarín de Barba Blanca
Pipra filicauda,Wire-tailed Manakin Saltarín Cola-de-Alambre
Pipra fasciicauda,Band-tailed Manakin Saltarín de Cola Bandeada
Machaeropterus striolatus,Striolated Manakin Saltarín Estriado
Machaeropterus eckelberryi,Painted Manakin Saltarín Pintado
Machaeropterus pyrocephalus,Fiery-capped Manakin Saltarín Gorro de Fuego
Pseudopipra pipra,White-crowned Manakin Saltarín de Corona Blanca
Ceratopipra erythrocephala,Golden-headed Manakin Saltarín de Cabeza Dorada
Ceratopipra rubrocapilla,Red-headed Manakin Saltarín de Cabeza Roja
Ceratopipra chloromeros,Round-tailed Manakin Saltarín de Cola Redonda
Pipreola riefferii,Green-and-black Fruiteater Frutero Verde y Negro
Pipreola intermedia,Band-tailed Fruiteater Frutero de Cola Bandeada
Pipreola arcuata,Barred Fruiteater Frutero Barrado
Pipreola lubomirskii,Black-chested Fruiteater Frutero de Pecho Negro
Pipreola pulchra,Masked Fruiteater Frutero Enmascarado
Pipreola frontalis,Scarlet-breasted Fruiteater Frutero de Pecho Escarlata
Pipreola chlorolepidota,Fiery-throated Fruiteater Frutero Garganta de Fuego
Ampelioides tschudii,Scaled Fruiteater Frutero Escamoso
Zaratornis stresemanni,White-cheeked Cotinga Cotinga de Mejilla Blanca
Phytotoma raimondii,Peruvian Plantcutter Cortarrama Peruano
Doliornis sclateri,Bay-vented Cotinga Cotinga de Subcaudales Bayas
Ampelion rubrocristatus,Red-crested Cotinga Cotinga de Cresta Roja
Ampelion rufaxilla,Chestnut-crested Cotinga Cotinga de Cresta Castaña
Phoenicircus nigricollis,Black-necked Red-Cotinga Cotinga-Roja de Cuello Negro
Rupicola peruvianus,Andean Cock-of-the-rock Gallito-de-las-Rocas Andino
Snowornis subalaris,Gray-tailed Piha Piha de Cola Gris
Snowornis cryptolophus,Olivaceous Piha Piha Olivácea
Querula purpurata,Purple-throated Fruitcrow Cuervo-Frutero de Garganta Púrpura
Pyroderus scutatus,Red-ruffed Fruitcrow Cuervo-Frutero de Garganta Roja
Cephalopterus ornatus,Amazonian Umbrellabird Pájaro-Paraguas Amazónico
Cotinga maynana,Plum-throated Cotinga Cotinga de Garganta Morada
Cotinga cotinga,Purple-breasted Cotinga Cotinga de Pecho Púrpura
Cotinga cayana,Spangled Cotinga Cotinga Lentejuelada
Lipaugus vociferans,Screaming Piha Piha Gritona
Lipaugus fuscocinereus,Dusky Piha Piha Oscura
Lipaugus uropygialis,Scimitar-winged Piha Piha Ala-de-Cimatarra
Porphyrolaema porphyrolaema,Purple-throated Cotinga Cotinga de Garganta Púrpura
Xipholena punicea,Pompadour Cotinga Cotinga Pomposa
Gymnoderus foetidus,Bare-necked Fruitcrow Cuervo-Frutero de Cuello Pelado
Conioptilon mcilhennyi,Black-faced Cotinga Cotinga de Cara Negra
Tityra inquisitor,Black-crowned Tityra Titira de Corona Negra
Tityra cayana,Black-tailed Tityra Titira de Cola Negra
Tityra semifasciata,Masked Tityra Titira Enmascarada
Schiffornis major,Varzea Schiffornis Shifornis de Várzea
Schiffornis veraepacis,Northern Schiffornis Shifornis Norteño
Schiffornis aenea,Foothill Schiffornis Shifornis Submontano
Schiffornis turdina,Brown-winged Schiffornis Shifornis de Ala Parda
Laniocera hypopyrra,Cinereous Mourner Plañidero Cinéreo
Iodopleura isabellae,White-browed Purpletuft Iodopleura de Ceja Blanca
